ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
0043,0111,Hauge,Viken,375,Hvaler,375,193,182,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0044,0111,Utgård,Viken,320,Hvaler,320,165,155,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0045,0111,Norderhaug,Viken,560,Hvaler,560,289,271,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0051,0106,Skivika,Viken,1088,Fredrikstad,1088,561,527,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0053,0106,Glosli,Viken,776,Fredrikstad,776,400,376,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0054,0106,Holm,Viken,224,Fredrikstad,224,116,108,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0061,0105,Ise,Viken,757,Sarpsborg,757,390,367,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0071,0105,Skjeberg,Viken,1402,Sarpsborg,1402,723,679,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0072,0105,Høysand,Viken,752,Sarpsborg,752,388,364,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
0081,0119,Ørje,Viken,1815,Marker,1815,936,879,1,0,0,0,0,0,0.0545264502642123,0.05545554845827769,0.06155275535683177,0.05934614714592649,0.053655420707276,0.05069392021369259,0.05382962661866326,0.05830091167760293,0.06451425585041519,0.06178502990534812,0.0696242959177748,0.0701469136519366,0.07380523779106904,0.07665060101039428,0.055107136635503165,0.03582834910864642,0.021369258463503862,0.0238081412229255,0.13,0.1,0.18,0.09,0.14,0.16,0.07,0.01,0.0,,0.18,0.57,0.23,0.0
